Year,State/UT,Total Accidents,Persons Killed,Persons Injured,Major Vehicle Type
2010,Uttar Pradesh,9270,628,1352,Others
2010,Maharashtra,13964,779,2952,Heavy Vehicle
2010,Tamil Nadu,6426,305,1178,Others
2010,Karnataka,10322,219,3535,Others
2010,West Bengal,8949,179,3114,Two-wheeler
2010,Rajasthan,6555,371,667,Two-wheeler
2011,Uttar Pradesh,10879,616,1467,Others
2011,Maharashtra,4841,203,1036,Heavy Vehicle
2011,Tamil Nadu,5105,163,1166,Others
2011,Karnataka,3598,81,906,Two-wheeler
2011,West Bengal,13341,318,4498,Others
2011,Rajasthan,12498,856,2201,Two-wheeler
2012,Uttar Pradesh,9402,574,1974,Heavy Vehicle
2012,Maharashtra,13257,927,1900,Two-wheeler
2012,Tamil Nadu,12632,390,3648,Four-wheeler
2012,Karnataka,14199,461,3435,Two-wheeler
2012,West Bengal,15589,1099,3311,Four-wheeler
2012,Rajasthan,12659,957,3567,Heavy Vehicle
2013,Uttar Pradesh,15627,847,3597,Four-wheeler
2013,Maharashtra,8945,632,2565,Heavy Vehicle
2013,Tamil Nadu,11944,659,4076,Others
2013,Karnataka,11205,409,1950,Two-wheeler
2013,West Bengal,2187,45,450,Two-wheeler
2013,Rajasthan,4268,160,441,Heavy Vehicle
2014,Uttar Pradesh,9434,591,2807,Heavy Vehicle
2014,Maharashtra,8523,644,2239,Others
2014,Tamil Nadu,8940,634,1898,Two-wheeler
2014,Karnataka,9952,420,2659,Two-wheeler
2014,West Bengal,5109,297,1644,Two-wheeler
2014,Rajasthan,10918,685,3168,Four-wheeler
2015,Uttar Pradesh,2752,182,614,Two-wheeler
2015,Maharashtra,2426,110,258,Two-wheeler
2015,Tamil Nadu,10843,237,2809,Others
2015,Karnataka,7827,395,2558,Heavy Vehicle
2015,West Bengal,9211,411,2660,Others
2015,Rajasthan,9534,234,1644,Four-wheeler
2016,Uttar Pradesh,8864,671,2677,Two-wheeler
2016,Maharashtra,14842,1072,4466,Others
2016,Tamil Nadu,12941,951,3039,Four-wheeler
2016,Karnataka,13697,1010,2458,Two-wheeler
2016,West Bengal,3702,168,1127,Two-wheeler
2016,Rajasthan,12850,262,2925,Two-wheeler
2017,Uttar Pradesh,7310,243,950,Others
2017,Maharashtra,3035,232,548,Others
2017,Tamil Nadu,3984,247,760,Two-wheeler
2017,Karnataka,9786,760,1594,Four-wheeler
2017,West Bengal,10891,414,1864,Two-wheeler
2017,Rajasthan,3075,173,693,Four-wheeler
2018,Uttar Pradesh,3310,121,1082,Heavy Vehicle
2018,Maharashtra,8408,436,1782,Four-wheeler
2018,Tamil Nadu,8740,485,1050,Others
2018,Karnataka,7212,249,2169,Two-wheeler
2018,West Bengal,5719,451,1142,Heavy Vehicle
2018,Rajasthan,9612,673,1732,Four-wheeler
2019,Uttar Pradesh,5322,119,1318,Heavy Vehicle
2019,Maharashtra,10084,631,3049,Others
2019,Tamil Nadu,5794,149,1941,Others
2019,Karnataka,9155,467,2832,Heavy Vehicle
2019,West Bengal,11982,768,1824,Heavy Vehicle
2019,Rajasthan,7151,441,1123,Others
2020,Uttar Pradesh,12978,691,3016,Four-wheeler
2020,Maharashtra,8907,694,2133,Others
2020,Tamil Nadu,17138,536,2908,Heavy Vehicle
2020,Karnataka,5106,376,1642,Others
2020,West Bengal,14265,834,1726,Others
2020,Rajasthan,9046,668,2276,Heavy Vehicle
2021,Uttar Pradesh,16317,425,4338,Two-wheeler
2021,Maharashtra,6052,179,1435,Four-wheeler
2021,Tamil Nadu,16379,968,2556,Two-wheeler
2021,Karnataka,9392,321,1703,Others
2021,West Bengal,14297,843,4465,Two-wheeler
2021,Rajasthan,8216,444,1014,Heavy Vehicle
2022,Uttar Pradesh,18298,657,2945,Four-wheeler
2022,Maharashtra,6740,331,2200,Heavy Vehicle
2022,Tamil Nadu,2759,113,720,Heavy Vehicle
2022,Karnataka,13827,993,2178,Others
2022,West Bengal,18533,1006,5414,Others
2022,Rajasthan,12657,1008,2752,Four-wheeler
